,x,y,z_receiver
OA-01,4.21,7.93,1.7
OA-02,5.71,7.93,1.7
OA-03,7.21,7.93,1.7
OA-04,8.71,7.93,1.7
OA-05,8.71,6.43,1.7
OA-06,7.21,6.43,1.7
OA-07,5.71,6.43,1.7
OA-08,4.21,6.43,1.7
OA-09,4.21,4.93,1.7
OA-10,5.71,4.93,1.7
OA-11,7.21,4.93,1.7
OA-12,8.71,4.93,1.7
OA-13,8.71,3.43,1.7
OA-14,7.21,3.43,1.7
OA-15,5.71,3.43,1.7
OA-16,4.21,3.43,1.7
