,x,y,z_receiver
OA-01,3.05,11.54,1.7
OA-02,5.55,11.54,1.7
OA-03,8.05,11.54,1.7
OA-04,10.55,11.54,1.7
OA-05,10.55,9.04,1.7
OA-06,8.05,9.04,1.7
OA-07,5.55,9.04,1.7
OA-08,3.05,9.04,1.7
OA-09,3.05,6.54,1.7
OA-10,5.55,6.54,1.7
OA-11,8.05,6.54,1.7
OA-12,10.55,6.54,1.7
OA-13,10.55,4.04,1.7
OA-14,8.05,4.04,1.7
OA-15,5.55,4.04,1.7
OA-16,3.05,4.04,1.7
