,x,y,z _source
PA-03,3,5.8,1.5
PA-09,2,4.8,1.2
PA-11,1,3.8,1.2
PA-12,2,3.8,0.3
PA-15,5,3.8,1.5
PA-19,2,2.8,1.2
PA-23,3,1.8,1.5
