,x,y,z_source
PA-3A,1.5,-1.75,1.5
PA-3B,1.525,-2,1
PA-7A,0.75,-4.75,1
PA-7B,1.5,-5,1.5
PA-7C,2.25,-5.25,1
PA-7D,1.635,-4.75,1
