,x,y,z_receiver
PA-01,0.25,-1,1.6
PA-02,2.5,-1,1.6
PA-04,0.25,-3.2,1.6
PA-05,2.5,-3.2,1.6
PA-06,5,-3.2,1.6
PA-3A,1.5,-1.75,1.6
PA-7B,1.5,-5,1.6
PA-7E,1.21,-5.5,1.6
