,x,y,z_receiver
PA-01,0.25,4.5,1.6
PA-02,2.5,4.5,1.6
PA-3A,1.5,3.75,1.6
PA-04,0.25,2.3,1.6
PA-05,2.5,2.3,1.6
PA-06,5,2.3,1.6
PA-7B,1.5,0.5,1.6
PA-7E,1.21,0,1.6
